fid,OBJECTID,UBIGEO,DEP,PROV,DIST,CODCP,NOMCP,MNOMCP,CAPITAL,CON_IE,NIVEL,CPINEI,CPINEI2,FUENTE_INE,FUENTE_G,Z,XGD,YGD,Y_X_COORD
151846,151846,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,681175,San Antonio,SAN ANTONIO,0,1,IPS,1601130023, ,INEI17,MED-GPS,100,-73.379614,-4.026352,-77.405966
151847,151847,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,681215,3 de Octubre,3 DE OCTUBRE,0,0, ,1601130012, ,INEI17,INEI,95,-73.36157189,-3.966216175,-77.32778806
151848,151848,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,681216,Belen de Juda,BELEN DE JUDA,0,0, ,1601130013, ,INEI17,INEI,107,-73.38412631,-3.978226552,-77.36235286
151849,151849,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,683489,Nueva Ciudad de Belen Varillalito,NUEVA CIUDAD DE BELEN VARILLALITO,0,1,IPS, , , ,UGEL-GPS,124,-73.35880845,-3.874870696,-77.23367915
151850,151850,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,655671,San Martin,SAN MARTIN,0,1,P,1601130007, ,INEI17,MED-GPS,90,-73.45704402,-3.87566466,-77.33270868
151853,151853,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,689869,Porvenir,PORVENIR,0,0, ,1601130010, ,INEI17,INEI,97,-73.55789233,-3.900453024,-77.45834535
151854,151854,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,689870,Soledad,SOLEDAD,0,0, ,1601130066, ,INEI17,INEI,108,-73.36098839,-3.98311129,-77.34409968
151855,151855,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,689874,Villa Cruz,VILLA CRUZ,0,0, ,1601130098, ,INEI17,INEI,102,-73.37349268,-3.853170525,-77.22666321
151856,151856,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,689875,San Cirilo,SAN CIRILO,0,0, ,1601130099, ,INEI17,INEI,106,-73.45509808,-4.056845027,-77.5119431
151857,151857,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,689876,Gedeones,GEDEONES,0,0, ,1601130100, ,INEI17,INEI,88,-73.359465,-3.796164684,-77.15562968
151859,151859,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,530999,Buena Esperanza,BUENA ESPERANZA,0,1,P,1601130063, ,INEI17,MED-GPS,89,-73.32236787,-3.89769328,-77.22006115
151861,151861,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,534524,Simon Bolivar,SIMON BOLIVAR,0,1,IP, , , ,MED-GPS,89,-73.30240465,-3.77623259,-77.07863724
151870,151870,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,682943,9 De Marzo,9 DE MARZO,0,0, , , , ,PROVIAS,104,-73.302956,-3.798885,-77.101841
151871,151871,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,682969,San Cirilo,SAN CIRILO,0,1,GIPS, , , ,DRE/UGEL,126,-73.34868151,-3.87411051,-77.22279202
151940,151940,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,524054,Cuyana,CUYANA,0,0, , , , ,IGN,109,-73.34257139,-3.83350289,-77.17607428
151944,151944,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,539597,Quistococha,QUISTOCOCHA,0,1,IPSK,1601130017, ,INEI17,MED-GPS,98,-73.32586935,-3.82279307,-77.14866242
151946,151946,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,121057,Santo Tomas,SANTO TOMAS,0,1,GIPSL,1601130015, ,INEI17,MED-GPS,92,-73.3406291,-3.80470845,-77.14533755
151951,151951,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,525939,Moralillo,MORALILLO,0,1,IP,1601130025, ,INEI17,MED-GPS,104,-73.33875707,-3.91011222,-77.24886929
151958,151958,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,120523,Cruz del Sur,CRUZ DEL SUR,0,1,IP, , ,INEI13,MED-GPS,105,-73.33573522,-3.84391031,-77.17964553
151998,151998,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,616629,Santa Barbara,SANTA BARBARA,0,1,P,1601130064, ,INEI17,MED-GPS,92,-73.32865218,-3.94312725,-77.27177943
152001,152001,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,128113,Santa Clara,SANTA CLARA,0,1,IPS,1601130003, ,INEI17,MED-GPS,93,-73.33967642,-3.78454135,-77.12421777
152003,152003,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,617107,25 de Enero,25 DE ENERO,0,1,IP, , ,INEI13,MED-GPS,97,-73.31667667,-3.80980735,-77.12648402
152010,152010,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,537375,San Antonio,SAN ANTONIO,0,0, , , , ,IGN,109,-73.30477189,-3.79518476,-77.09995665
152011,152011,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,611788,San Carlos,SAN CARLOS,0,1,IP,1601130065, ,INEI17,MED-GPS,96,-73.34463951,-3.95923707,-77.30387658
152015,152015,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,234039,Rumococha,RUMOCOCHA,0,1,GIPS,1601130002, ,INEI17,MED-GPS,92,-73.31283184,-3.77955548,-77.09238732
152016,152016,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,122103,San Juan Bautista,SAN JUAN BAUTISTA,3,1,GIPSLED,1601130001, ,INEI17,MED-GPS,94,-73.28938976,-3.77506576,-77.06445552
152023,152023,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,126799,Pueblo Joven Bello Horizonte,PUEBLO JOVEN BELLO HORIZONTE,0,0, , , , ,IGN,107,-73.28259102,-3.76815664,-77.05074766
152026,152026,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,512953,Anita Cabrera,ANITA CABRERA,0,0, , , , ,IGN,97,-73.27460164,-3.76419415,-77.03879579
152105,152105,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,560476,Cabo Lopez,CABO LOPEZ,0,1,IP,1601120052, ,INEI17,MED-GPS,88,-73.26134078,-3.78830276,-77.04964354
152107,152107,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,573329,Los Delfines,LOS DELFINES,0,1,IPS,1601130069, ,INEI17,MED-GPS,108,-73.33787246,-3.8467545,-77.18462696
152115,152115,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,683037,12 de Diciembre,12 DE DICIEMBRE,0,1,G, , , ,IMG_SATELITAL,97,-73.33637132,-3.81616626,-77.15253758
152116,152116,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,683071,Juan Peñaherrera,JUAN PEÑAHERRERA,0,1,I, , , ,MED-GPS,93,-73.2775906,-3.77784475,-77.05543535
152119,152119,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,683120,Inka Manko Kali,INKA MANKO KALI,0,1,PS, , , ,MED-GPS,106,-73.29896494,-3.7942032,-77.09316814
152121,152121,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,654875,Union Progreso,UNION PROGRESO,0,1,P,1601130070, ,INEI17,IMG_SATELITAL,122,-73.33891765,-3.8568173,-77.19573495
152142,152142,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,573806,Heroes Del Cenepa,HEROES DEL CENEPA,0,1,I, , , ,MED-GPS,102,-73.28838698,-3.78742722,-77.0758142
152143,152143,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,573693,Las Palmeras,LAS PALMERAS,0,0, , , , ,INEI,101,-73.28287299,-3.7732995,-77.05617249
152145,152145,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,574231,Pacaya Samiria,PACAYA SAMIRIA,0,0, , , , ,INEI,99,-73.27182557,-3.76466676,-77.03649233
152146,152146,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,573172,Modelo,MODELO,0,0, , , , ,INEI,106,-73.28197869,-3.77815037,-77.06012906
152147,152147,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,573197,Popular Moronacocha,POPULAR MORONACOCHA,0,1,IP, , , ,MED-GPS,107,-73.30774718,-3.79955404,-77.10730122
152150,152150,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,651729,Castañal Pampachica,CASTAÑAL PAMPACHICA,0,1,GP, , , ,MED-GPS,91,-73.27255217,-3.76185695,-77.03440912
152151,152151,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,566083,28 De Julio,28 DE JULIO,0,1,P, , , ,MED-GPS,85,-73.260703,-3.77813742,-77.03884042
152154,152154,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,127145,Peña Negra,PEÑA NEGRA,0,1,IPS,1601130022, ,INEI17,MED-GPS,119,-73.33817614,-3.86343656,-77.2016127
152171,152171,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,684132,31 De Agosto,31 DE AGOSTO,0,0, , , ,INEI17,INEI,97,-73.32575277,-3.806527538,-77.1322803
