cp,year,Deforestation,ruta,class,Nigth_light
GEDEONES,2017,2.242502,Santa Clara - Santo Tomas,new,2.0646498
GEDEONES,2018,1.6068047,Santa Clara - Santo Tomas,new,2.1210472
GEDEONES,2019,1.2196478,Santa Clara - Santo Tomas,new,2.0188412
GEDEONES,2020,0.6550355,Santa Clara - Santo Tomas,new,1.9729556
GEDEONES,2021,0,Santa Clara - Santo Tomas,new,2.4077355
LA PAZ,2015,3.9541956,Santa Clara - Santo Tomas,new,4.2402222
LA PAZ,2016,3.300319,Santa Clara - Santo Tomas,new,4.4527325
LA PAZ,2017,2.0621056,Santa Clara - Santo Tomas,new,5.1945596
LA PAZ,2018,1.5569929,Santa Clara - Santo Tomas,new,4.6375171
LA PAZ,2019,1.1875037,Santa Clara - Santo Tomas,new,4.6506287
LA PAZ,2020,0.6567398,Santa Clara - Santo Tomas,new,5.2251932
LA PAZ,2021,0,Santa Clara - Santo Tomas,new,5.734019
31 DE AGOSTO,2015,4.2674172,Santa Clara - Santo Tomas,new,4.6221151
31 DE AGOSTO,2016,3.5581146,Santa Clara - Santo Tomas,new,4.8715505
31 DE AGOSTO,2017,2.2584873,Santa Clara - Santo Tomas,new,5.6766822
31 DE AGOSTO,2018,1.6942372,Santa Clara - Santo Tomas,new,5.0432641
31 DE AGOSTO,2019,1.2874623,Santa Clara - Santo Tomas,new,5.0060833
31 DE AGOSTO,2020,0.7270736,Santa Clara - Santo Tomas,new,5.7113248
31 DE AGOSTO,2021,0,Santa Clara - Santo Tomas,new,6.2602065
SANTA ISABEL DE ZUNGARO COCHA,2015,4.9389885,Zungarococha,old,1.7756611
SANTA ISABEL DE ZUNGARO COCHA,2016,4.1081578,Zungarococha,old,1.9156974
SANTA ISABEL DE ZUNGARO COCHA,2017,2.6052454,Zungarococha,old,2.52877
SANTA ISABEL DE ZUNGARO COCHA,2018,1.9094472,Zungarococha,old,2.5109729
SANTA ISABEL DE ZUNGARO COCHA,2019,1.3038793,Zungarococha,old,2.3451568
SANTA ISABEL DE ZUNGARO COCHA,2020,0.6830648,Zungarococha,old,2.6160158
SANTA ISABEL DE ZUNGARO COCHA,2021,0,Zungarococha,old,3.0019123
PUERTO ALMENDRA,2015,4.8534156,Zungarococha,old,0.9641218
PUERTO ALMENDRA,2016,3.9559617,Zungarococha,old,1.0858771
PUERTO ALMENDRA,2017,2.8366378,Zungarococha,old,1.3654589
PUERTO ALMENDRA,2018,2.0340241,Zungarococha,old,1.4663828
PUERTO ALMENDRA,2019,1.4208904,Zungarococha,old,1.2966493
PUERTO ALMENDRA,2020,0.6473945,Zungarococha,old,1.3811106
PUERTO ALMENDRA,2021,0,Zungarococha,old,1.6058672
NINA RUMI,2015,5.4800305,Zungarococha,old,0.6414005
NINA RUMI,2016,4.6607867,Zungarococha,old,0.710198
NINA RUMI,2017,3.5581754,Zungarococha,old,1.0007132
NINA RUMI,2018,2.684715,Zungarococha,old,1.1702477
NINA RUMI,2019,1.9173876,Zungarococha,old,1.0279876
NINA RUMI,2020,0.8374885,Zungarococha,old,1.1156855
